"date","datetime","location","room","session","title","link"
2019-09-30,2019-09-30 07:55:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Welcoming Remarks","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/41661"
2019-09-30,2019-09-30 08:00:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Capitalizing on Social Media; Breaking News and Changing Minds As a Government Agency","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/37014"
2019-09-30,2019-09-30 08:20:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Pole of Inaccessibility: Bringing Ocean Sciences to North America’s Great Interior","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/37725"
2019-09-30,2019-09-30 08:40:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Sharing the Shore: Protecting the “Wild” in West Coast Wildlife","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39233"
2019-09-30,2019-09-30 09:00:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39031"
2019-09-30,2019-09-30 09:20:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Harnessing the Power of Art to Advance Federal Fisheries Management: An Interdisciplinary Experiment","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39967"
2019-09-30,2019-09-30 09:40:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Break",""
2019-09-30,2019-09-30 13:10:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Communicating Science and Engaging with Alaska Communities","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39001"
2019-09-30,2019-09-30 13:30:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","The Ecology of the Internet: Lessons Learned for Science Communicators from a Career in Journalism","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38591"
2019-09-30,2019-09-30 13:50:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Communicating Marine Policy in an Era of Climate Change","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38863"
2019-09-30,2019-09-30 14:10:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Pacific Islands Region Newsroom","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39254"
2019-09-30,2019-09-30 14:30:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Sunday School: Systems-Literacy Success through Short, Teacher-Led Family Field Trips","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38253"
2019-09-30,2019-09-30 14:50:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Refreshment Break",""
2019-09-30,2019-09-30 15:20:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","When “the Blob” Attacks: Conveying Ecosystem Science through Real-Time News","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39230"
2019-09-30,2019-09-30 15:40:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Give ‘Em What They Want: Repackaging Science into Content People Want to Consume","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/40025"
2019-09-30,2019-09-30 16:00:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Communicating Real-World Research to Students","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/38490"
2019-09-30,2019-09-30 16:20:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","From Paper to the Cloud – Tools and Methods for Communicating with a Diverse Audience","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39455"
2019-09-30,2019-09-30 16:40:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Grab the Popcorn, It’s Show Time!","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/39035"
2019-09-30,2019-09-30 17:00:00,"Atlantis"," Grand Ballroom 5","The Art of Communicating Cool Science, New Discoveries, and Policy Decisions in the Age of Twitter","Concluding Remarks","https://afstws2019.org/sessions/the-art-of-communicating-cool-science-new-discoveries-and-policy-decisions-in-the-age-of-twitter/40816"
2019-09-30,2019-09-30 08:00:00,"RSCC"," A5","Juvenile Salmon Ecology and Management (hosted by AFS)","Longitudinal Patterns of Logjams and Occupancy By Juvenile Chinook Salmon Along a Sub-Arctic Boreal Riverscape","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/40175"
2019-09-30,2019-09-30 08:20:00,"RSCC"," A5","Juvenile Salmon Ecology and Management (hosted by AFS)","Juvenile Chinook Salmon (Oncorhynchus tshawytscha) Movement, Overwinter Survival, and Outmigration Timing in the Chena River, Alaska","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/39606"
2019-09-30,2019-09-30 08:40:00,"RSCC"," A5","Juvenile Salmon Ecology and Management (hosted by AFS)","Identifying Juvenile Chinook Salmon (Oncorhynchus tshawytscha) Overwintering Locations in the Tanana Flats (Alaska, USA)","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/36025"
2019-09-30,2019-09-30 09:00:00,"RSCC"," A5","Juvenile Salmon Ecology and Management (hosted by AFS)","Food Deprivation Records in Juvenile Salmon Otoliths","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/38434"
2019-09-30,2019-09-30 09:20:00,"RSCC"," A5","Juvenile Salmon Ecology and Management (hosted by AFS)","Invasive Competition and Predation: An Ecological Perspective on Threats to Juvenile Chinook Salmon","https://afstws2019.org/sessions/juvenile-salmon-ecology-and-management/36721"
2019-09-30,2019-09-30 08:00:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Overcoming Challenges in Salmon and Steelhead Monitoring Using Applied Technologies","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38651"
2019-09-30,2019-09-30 08:20:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Split-Beam and Imaging Sonar Used to Enumerate Migratory Fish Passage in Large, Turbid Rivers of the Alaskan Arctic–Yukon–Kuskokwim (AYK) Region","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38935"
2019-09-30,2019-09-30 08:40:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Estimating Atlantic Salmon (Salmo salar) Population Size in a Multispecies River Using Adaptive Resolution Imaging Sonars (ARIS) and Underwater Cameras.","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38551"
2019-09-30,2019-09-30 09:00:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Use of Subsampling Techniques to Improve the Precision, Accuracy, and Efficiency of Imaging Sonar Results","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40308"
2019-09-30,2019-09-30 09:20:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Use of Low-Cost, Autonomous, Underwater Camera Systems to Advance Understanding of Fish Habitat Usage and Behavior","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40255"
2019-09-30,2019-09-30 09:40:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Break",""
2019-09-30,2019-09-30 13:10:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Using Environmental DNA to Detect the Invasive New Zealand Mud Snail (Potamopyrgus antipodarum) in Freshwaters","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38989"
2019-09-30,2019-09-30 13:30:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Adaptation of Technology: A Glimpse into the Future of Aquatic Environmental DNA Monitoring in the Sacramento-San Joaquin Delta.","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39919"
2019-09-30,2019-09-30 13:50:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Using Wagon-Wheel Antennas to Pioneer the West: How New PIT Detection Technology Has Expanded Our Knowledge on Imperiled Fish Conservation and Management","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38908"
2019-09-30,2019-09-30 14:10:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Wells Dam Juvenile Bypass Baffle PIT Detection System","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38514"
2019-09-30,2019-09-30 14:30:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","The Aquatic Habitat Sampling Platform: A Non-Traditional Look at Traditional Estuary Questions","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39996"
2019-09-30,2019-09-30 14:50:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Refreshment Break",""
2019-09-30,2019-09-30 15:20:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","The Use of Carbon Dioxide to Remove Resident Piscivorous Striped Bass (Morone saxatilis) from the Tracy Fish Collection Facility in the Sacramento-San Joaquin River Delta, California","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/38377"
2019-09-30,2019-09-30 15:40:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Assessing the Use of Predation-Detection Acoustic Transmitters to Examine Predation Loss of Juvenile Chinook Salmon","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/39387"
2019-09-30,2019-09-30 16:00:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Paired Satellite and Acoustic Tagging to Monitor the Movements of Bigheaded Carp in the Upper Illinois River","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40583"
2019-09-30,2019-09-30 16:20:00,"RSCC"," A18","Using Applied Technology in Fisheries Monitoring and Research (hosted by AFS)","Evaluation of the Juvenile Salmonid Acoustic Telemetry System (JSATS) Detection Range and Efficiency in Saltwater Estuarine Environments","https://afstws2019.org/sessions/using-applied-technology-in-fisheries-monitoring-and-research/40286"
2019-09-30,2019-09-30 08:00:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Applying UI/UX Methods to Recruit and Retain Anglers. A Case Study of Angler’s Atlas Website and MyCatch Mobile App.","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40793"
2019-09-30,2019-09-30 08:20:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Interactive User Interfaces: Building Models, Building Partnerships","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38577"
2019-09-30,2019-09-30 08:40:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Interactive Data Visualization Tools for Enhanced Communication with Stakeholders","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38612"
2019-09-30,2019-09-30 09:00:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Customized Applications to Streamline Workflow for Wildlife and Fisheries Management","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38708"
2019-09-30,2019-09-30 09:20:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Enhancing Reproducibility in Fisheries Science with Interactive User Interfaces","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/40005"
2019-09-30,2019-09-30 09:40:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Break",""
2019-09-30,2019-09-30 13:10:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Dynamic Rshiny Applications to Support Gulf of Mexico Land Conservation","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38980"
2019-09-30,2019-09-30 13:30:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","An Interactive User Interface for Mapping and Prioritizing Migration Corridors","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39277"
2019-09-30,2019-09-30 13:50:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","A Decision-Making Tool for Evaluating Biological and Statistical Thresholds for Survival Analysis of Migrating Fishes","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39878"
2019-09-30,2019-09-30 14:10:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","R Shiny As a Platform for Interactive and Dynamic in-Season Information on Fraser River Sockeye Salmon","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/39910"
2019-09-30,2019-09-30 14:30:00,"Atlantis"," Grand Ballroom 7","The Role of Interactive User Interfaces in Fisheries and Wildlife Science","Utilization of Web Applications in a Salmon and Steelhead Monitoring and Recovery Program","https://afstws2019.org/sessions/the-role-of-interactive-user-interfaces-in-fisheries-and-wildlife-science/38799"
